cbo,wmc,dit,rfc
8,7,2,8
10,56,1,45
6,3,1,0
6,53,1,19
0,1,1,0
6,3,1,4
17,54,1,59
0,1,1,0
15,47,1,43
36,33,3,72
0,2,1,0
8,4,2,9
0,1,1,0
2,7,1,6
5,5,2,7
21,37,3,60
6,1,1,3
3,2,1,5
1,0,1,0
10,26,3,16
1,6,1,13
11,7,3,19
6,6,2,4
2,3,1,2
0,4,1,2
1,3,1,0
4,12,1,5
6,5,2,6
4,4,1,7
4,8,1,4
16,43,2,34
8,54,2,43
8,6,2,17
1,1,1,0
4,45,1,25
23,32,4,59
6,5,1,0
2,2,1,4
5,2,2,1
1,9,1,0
11,54,2,44
8,6,2,14
19,27,2,43
19,49,1,41
18,9,4,36
17,37,2,53
5,1,1,3
3,6,1,8
14,23,1,46
3,4,3,16
9,17,3,14
1,0,1,0
1,2,1,0
7,15,1,9
1,3,1,2
8,15,2,15
3,6,1,7
16,19,3,25
4,4,1,6
5,7,2,23
1,3,1,10
1,2,1,0
8,7,2,13
2,2,1,0
6,3,3,4
4,8,2,3
18,46,1,45
0,0,1,0
3,3,1,0
1,1,1,0
4,1,1,3
8,3,1,1
11,13,4,26
2,3,1,4
10,22,2,24
5,8,1,17
2,1,1,1
4,11,1,0
0,0,1,0
2,0,1,0
9,40,2,29
14,17,3,42
8,26,2,17
5,5,3,6
0,1,1,0
1,2,1,0
7,10,1,10
5,1,1,3
1,0,1,0
3,2,1,0
9,3,2,6
8,11,2,26
1,1,1,0
27,60,2,92
1,0,1,0
11,4,3,10
5,4,2,9
12,22,1,28
6.775510204,12.75510204,1.56122449,14.64285714
